RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,statefips,region_tag
75650,11510,40360,zip,KY,KY,Owingsville,"Mount Sterling, KY",Bath County,21,owingsville-ky-40360
59229,11512,3835,zip,NH,NH,Farmington,"Boston-Cambridge-Newton, MA-NH",Strafford County,33,farmington-nh-3835
90672,11512,75076,zip,TX,TX,Pottsboro,"Sherman-Denison, TX",Grayson County,48,pottsboro-tx-75076
99974,11514,98815,zip,WA,WA,Cashmere,"Wenatchee, WA",Chelan County,53,cashmere-wa-98815
399732,11515,86315,zip,AZ,AZ,Prescott Valley,"Prescott Valley-Prescott, AZ",Yavapai County,4,prescott-valley-az-86315
76241,11516,42129,zip,KY,KY,Edmonton,"Glasgow, KY",Metcalfe County,21,edmonton-ky-42129
74662,11517,38126,zip,TN,TN,Memphis,"Memphis, TN-MS-AR",Shelby County,47,memphis-tn-38126
73526,11518,35581,zip,AL,AL,Phil Campbell,,Franklin County,1,phil-campbell-al-35581
89907,11519,73077,zip,OK,OK,Perry,,Noble County,40,perry-ok-73077
74115,11520,37029,zip,TN,TN,Burns,"Nashville-Davidson--Murfreesboro--Franklin, TN",Dickson County,47,burns-tn-37029
60130,11521,6073,zip,CT,CT,Glastonbury,"Hartford-East Hartford-Middletown, CT",Hartford County,9,glastonbury-ct-6073
62382,11522,12077,zip,NY,NY,Glenmont,"Albany-Schenectady-Troy, NY",Albany County,36,glenmont-ny-12077
99389,11523,97707,zip,OR,OR,Bend,"Bend, OR",Deschutes County,41,bend-or-97707
61823,11524,10507,zip,NY,NY,Bedford Hills,"New York-Newark-Jersey City, NY-NJ-PA",Westchester County,36,bedford-hills-ny-10507
62777,11525,12832,zip,NY,NY,Granville,"Glens Falls, NY",Washington County,36,granville-ny-12832
85354,11525,62233,zip,IL,IL,,,Randolph County,17,
85213,11527,61874,zip,IL,IL,Savoy,"Champaign-Urbana, IL",Champaign County,17,savoy-il-61874
79157,11527,48357,zip,MI,MI,Highland,"Detroit-Warren-Dearborn, MI",Oakland County,26,highland-mi-48357
91197,11529,76023,zip,TX,TX,Boyd,"Dallas-Fort Worth-Arlington, TX",Wise County,48,boyd-tx-76023
97371,11529,93625,zip,CA,CA,Fowler,"Fresno, CA",Fresno County,6,fowler-ca-93625
76239,11531,42127,zip,KY,KY,Cave City,"Glasgow, KY",Barren County,21,cave-city-ky-42127
60819,11532,7830,zip,NJ,NJ,Califon,"New York-Newark-Jersey City, NY-NJ-PA",Hunterdon County,34,califon-nj-7830
71907,11534,32266,zip,FL,FL,Neptune Beach,"Jacksonville, FL",Duval County,12,neptune-beach-fl-32266
82210,11535,55359,zip,MN,MN,Independence,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,27,independence-mn-55359
77732,11535,45656,zip,OH,OH,,"Jackson, OH",Jackson County,39,
60813,11537,7823,zip,NJ,NJ,Belvidere,"Allentown-Bethlehem-Easton, PA-NJ",Warren County,34,belvidere-nj-7823
71193,11538,30546,zip,GA,GA,Hiawassee,,Towns County,13,hiawassee-ga-30546
97273,11539,93445,zip,CA,CA,Oceano,"San Luis Obispo-Paso Robles, CA",San Luis Obispo County,6,oceano-ca-93445
96907,11540,92548,zip,CA,CA,Homeland,"Riverside-San Bernardino-Ontario, CA",Riverside County,6,homeland-ca-92548
97929,11541,95018,zip,CA,CA,Ben Lomond,"Santa Cruz-Watsonville, CA",Santa Cruz County,6,ben-lomond-ca-95018
78234,11542,46737,zip,IN,IN,,"Angola, IN",Steuben County,18,
58404,11543,1524,zip,MA,MA,Leicester,"Worcester, MA-CT",Worcester County,25,leicester-ma-1524
96466,11544,91708,zip,CA,CA,Chino,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,6,chino-ca-91708
92204,11544,78014,zip,TX,TX,Cotulla,,La Salle County,48,cotulla-tx-78014
67320,11546,22580,zip,VA,VA,Woodford,,Caroline County,51,woodford-va-22580
97098,11547,93022,zip,CA,CA,Oak View,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,6,oak-view-ca-93022
77235,11548,44618,zip,OH,OH,Dalton,"Wooster, OH",Wayne County,39,dalton-oh-44618
92833,11549,79104,zip,TX,TX,Amarillo,"Amarillo, TX",Potter County,48,amarillo-tx-79104
73741,11550,36089,zip,AL,AL,Union Springs,,Bullock County,1,union-springs-al-36089
74162,11551,37082,zip,TN,TN,Kingston Springs,"Nashville-Davidson--Murfreesboro--Franklin, TN",Cheatham County,47,kingston-springs-tn-37082
74452,11552,37737,zip,TN,TN,Friendsville,"Knoxville, TN",Blount County,47,friendsville-tn-37737
92525,11552,78583,zip,TX,TX,Rio Hondo,"Brownsville-Harlingen, TX",Cameron County,48,rio-hondo-tx-78583
71442,11554,31096,zip,GA,GA,Wrightsville,"Dublin, GA",Johnson County,13,wrightsville-ga-31096
73597,11554,35759,zip,AL,AL,Meridianville,"Huntsville, AL",Madison County,1,meridianville-al-35759
85299,11556,62062,zip,IL,IL,Maryville,"St. Louis, MO-IL",Madison County,17,maryville-il-62062
70059,11557,28604,zip,NC,NC,Banner Elk,,Avery County,37,banner-elk-nc-28604
61106,11558,8551,zip,NJ,NJ,Ringoes,"New York-Newark-Jersey City, NY-NJ-PA",Hunterdon County,34,ringoes-nj-8551
99119,11559,97205,zip,OR,OR,Portland,"Portland-Vancouver-Hillsboro, OR-WA",Multnomah County,41,portland-or-97205
60765,11560,7716,zip,NJ,NJ,Atlantic Highlands,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,34,atlantic-highlands-nj-7716
78430,11561,47106,zip,IN,IN,,"Louisville/Jefferson County, KY-IN",Clark County,18,
59308,11562,4021,zip,ME,ME,Cumberland,"Portland-South Portland, ME",Cumberland County,23,cumberland-me-4021
58375,11564,1464,zip,MA,MA,Shirley,"Boston-Cambridge-Newton, MA-NH",Middlesex County,25,shirley-ma-1464
86069,11565,63461,zip,MO,MO,Palmyra,"Hannibal, MO",Marion County,29,palmyra-mo-63461
77508,11566,45217,zip,OH,OH,Saint Bernard,"Cincinnati, OH-KY-IN",Hamilton County,39,saint-bernard-oh-45217
80634,11566,51108,zip,IA,IA,Sioux City,"Sioux City, IA-NE-SD",Woodbury County,19,sioux-city-ia-51108
97519,11568,94028,zip,CA,CA,Portola Valley,"San Francisco-Oakland-Berkeley, CA",San Mateo County,6,portola-valley-ca-94028
85571,11569,62565,zip,IL,IL,Shelbyville,,Shelby County,17,shelbyville-il-62565
87058,11570,66043,zip,KS,KS,Lansing,"Kansas City, MO-KS",Leavenworth County,20,lansing-ks-66043
61893,11571,10607,zip,NY,NY,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",Westchester County,36,white-plains-ny-10607
74116,11572,37030,zip,TN,TN,Carthage,"Nashville-Davidson--Murfreesboro--Franklin, TN",Smith County,47,carthage-tn-37030
97298,11573,93510,zip,CA,CA,Acton,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6,acton-ca-93510
94424,11574,84059,zip,UT,UT,Vineyard,"Provo-Orem, UT",Utah County,49,vineyard-ut-84059
77121,11574,44307,zip,OH,OH,Akron,"Akron, OH",Summit County,39,akron-oh-44307
84477,11576,60425,zip,IL,IL,Glenwood,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,17,glenwood-il-60425
77833,11577,45817,zip,OH,OH,Bluffton,"Lima, OH",Allen County,39,bluffton-oh-45817
99270,11578,97423,zip,OR,OR,Coquille,"Coos Bay, OR",Coos County,41,coquille-or-97423
75667,11579,40390,zip,KY,KY,Wilmore,"Lexington-Fayette, KY",Jessamine County,21,wilmore-ky-40390
78006,11580,46167,zip,IN,IN,Pittsboro,"Indianapolis-Carmel-Anderson, IN",Hendricks County,18,pittsboro-in-46167
92404,11580,78355,zip,TX,TX,Falfurrias,,Brooks County,48,falfurrias-tx-78355
74305,11582,37331,zip,TN,TN,Etowah,"Athens, TN",McMinn County,47,etowah-tn-37331
60428,11583,6759,zip,CT,CT,Litchfield,"Torrington, CT",Litchfield County,9,litchfield-ct-6759
68909,11583,26170,zip,WV,WV,Saint Marys,,Pleasants County,54,saint-marys-wv-26170
75649,11583,40359,zip,KY,KY,,,Owen County,21,
86565,11586,64730,zip,MO,MO,,"Kansas City, MO-KS",Bates County,29,
81225,11587,53118,zip,WI,WI,Ottawa,"Milwaukee-Waukesha, WI",Waukesha County,55,ottawa-wi-53118
72778,11588,33715,zip,FL,FL,Saint Petersburg,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County,12,saint-petersburg-fl-33715
60905,11589,8008,zip,NJ,NJ,Long Beach Township,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,34,long-beach-township-nj-8008
75207,11590,39203,zip,MS,MS,Jackson,"Jackson, MS",Hinds County,28,jackson-ms-39203
67315,11590,22572,zip,VA,VA,Warsaw,,Richmond County,51,warsaw-va-22572
