MedianIncome,RegionName,year,state_fip,_last_synced_
44581.49,35228,2022,1,2023-12-02 16:50:45
45725.82,35233,2022,1,2023-12-02 16:50:45
23457.22,35234,2022,1,2023-12-02 16:50:45
59993.380000000005,35235,2022,1,2023-12-02 16:50:45
110406.73,35242,2022,1,2023-12-02 16:50:45
96116.51000000001,35243,2022,1,2023-12-02 16:50:45
100598.04000000001,35244,2022,1,2023-12-02 16:50:45
24935.27,35401,2022,1,2023-12-02 16:50:45
43658.61,35404,2022,1,2023-12-02 16:50:45
60455.85,35405,2022,1,2023-12-02 16:50:45
111433.64,35406,2022,1,2023-12-02 16:50:45
46752.73,35441,2022,1,2023-12-02 16:50:45
31506.670000000002,35442,2022,1,2023-12-02 16:50:45
19135.34,35443,2022,1,2023-12-02 16:50:45
54461.25,35444,2022,1,2023-12-02 16:50:45
50620.380000000005,35446,2022,1,2023-12-02 16:50:45
40824.05,35447,2022,1,2023-12-02 16:50:45
58871.71,35452,2022,1,2023-12-02 16:50:45
67072.57,35453,2022,1,2023-12-02 16:50:45
55759.05,35456,2022,1,2023-12-02 16:50:45
32355.39,35459,2022,1,2023-12-02 16:50:45
26059.0,35460,2022,1,2023-12-02 16:50:45
43363.0,35461,2022,1,2023-12-02 16:50:45
30711.510000000002,35462,2022,1,2023-12-02 16:50:45
58625.54,35463,2022,1,2023-12-02 16:50:45
57239.16,35466,2022,1,2023-12-02 16:50:45
23263.58,35470,2022,1,2023-12-02 16:50:45
74088.93000000001,35473,2022,1,2023-12-02 16:50:45
62884.590000000004,35474,2022,1,2023-12-02 16:50:45
93681.59,35475,2022,1,2023-12-02 16:50:45
50269.15,35476,2022,1,2023-12-02 16:50:45
77811.35,35480,2022,1,2023-12-02 16:50:45
43943.92,35481,2022,1,2023-12-02 16:50:45
64418.26,35490,2022,1,2023-12-02 16:50:45
42866.54,35501,2022,1,2023-12-02 16:50:45
52853.42,35503,2022,1,2023-12-02 16:50:45
62363.41,35504,2022,1,2023-12-02 16:50:45
48595.4,35540,2022,1,2023-12-02 16:50:45
53568.24,35541,2022,1,2023-12-02 16:50:45
55272.89,35546,2022,1,2023-12-02 16:50:45
41567.71,35549,2022,1,2023-12-02 16:50:45
46350.0,35550,2022,1,2023-12-02 16:50:45
50824.32,35552,2022,1,2023-12-02 16:50:45
44986.28,35553,2022,1,2023-12-02 16:50:45
41983.83,35554,2022,1,2023-12-02 16:50:45
49360.69,35555,2022,1,2023-12-02 16:50:45
44913.15,35563,2022,1,2023-12-02 16:50:45
33459.55,35564,2022,1,2023-12-02 16:50:45
